"Step","partition_20_batch16_embd384_lay12_heads8_Huber - loss","partition_20_batch16_embd384_lay12_heads8_Huber - loss__MIN","partition_20_batch16_embd384_lay12_heads8_Huber - loss__MAX","partition_20_batch16_embd384_lay12_heads8_MSE - loss","partition_20_batch16_embd384_lay12_heads8_MSE - loss__MIN","partition_20_batch16_embd384_lay12_heads8_MSE - loss__MAX","partition_20_batch16_embd192_lay12_heads8_Huber - loss","partition_20_batch16_embd192_lay12_heads8_Huber - loss__MIN","partition_20_batch16_embd192_lay12_heads8_Huber - loss__MAX","partition_20_batch16_embd192_lay12_heads8_MSE - loss","partition_20_batch16_embd192_lay12_heads8_MSE - loss__MIN","partition_20_batch16_embd192_lay12_heads8_MSE - loss__MAX","partition_20_batch16_embd192_lay10_heads8_Huber - loss","partition_20_batch16_embd192_lay10_heads8_Huber - loss__MIN","partition_20_batch16_embd192_lay10_heads8_Huber - loss__MAX","partition_20_batch16_embd192_lay10_heads8_MSE - loss","partition_20_batch16_embd192_lay10_heads8_MSE - loss__MIN","partition_20_batch16_embd192_lay10_heads8_MSE - loss__MAX","partition_20_batch16_embd192_lay12_heads12_MSE - loss","partition_20_batch16_embd192_lay12_heads12_MSE - loss__MIN","partition_20_batch16_embd192_lay12_heads12_MSE - loss__MAX"
"44","0.0073770745657384396","0.0073770745657384396","0.0073770745657384396","0.013229435309767723","0.013229435309767723","0.013229435309767723","0.007787419483065605","0.007787419483065605","0.007787419483065605","0.01791325956583023","0.01791325956583023","0.01791325956583023","0.008381360210478306","0.008381360210478306","0.008381360210478306","0.015299491584300995","0.015299491584300995","0.015299491584300995","0.02241579256951809","0.02241579256951809","0.02241579256951809"
"45","0.0074966223910450935","0.0074966223910450935","0.0074966223910450935","0.017410026863217354","0.017410026863217354","0.017410026863217354","0.006697756703943014","0.006697756703943014","0.006697756703943014","0.01603558100759983","0.01603558100759983","0.01603558100759983","0.00807223655283451","0.00807223655283451","0.00807223655283451","0.018335215747356415","0.018335215747356415","0.018335215747356415","0.014682377688586712","0.014682377688586712","0.014682377688586712"
"46","0.005794019438326359","0.005794019438326359","0.005794019438326359","0.01145255472511053","0.01145255472511053","0.01145255472511053","0.0067885927855968475","0.0067885927855968475","0.0067885927855968475","0.012640805914998055","0.012640805914998055","0.012640805914998055","0.007711233105510473","0.007711233105510473","0.007711233105510473","0.01576664298772812","0.01576664298772812","0.01576664298772812","0.017177416011691093","0.017177416011691093","0.017177416011691093"
"47","0.006647881120443344","0.006647881120443344","0.006647881120443344","0.01566217467188835","0.01566217467188835","0.01566217467188835","0.005828232504427433","0.005828232504427433","0.005828232504427433","0.012538781389594078","0.012538781389594078","0.012538781389594078","0.006730305962264538","0.006730305962264538","0.006730305962264538","0.01301535964012146","0.01301535964012146","0.01301535964012146","0.011852612718939781","0.011852612718939781","0.011852612718939781"
"48","0.006426094565540552","0.006426094565540552","0.006426094565540552","0.013504093512892723","0.013504093512892723","0.013504093512892723","0.008397513069212437","0.008397513069212437","0.008397513069212437","0.01957828737795353","0.01957828737795353","0.01957828737795353","0.0066529144532978535","0.0066529144532978535","0.0066529144532978535","0.016310567036271095","0.016310567036271095","0.016310567036271095","0.01883084699511528","0.01883084699511528","0.01883084699511528"
"49","0.0058702221140265465","0.0058702221140265465","0.0058702221140265465","0.02068604901432991","0.02068604901432991","0.02068604901432991","0.006435241550207138","0.006435241550207138","0.006435241550207138","0.01481773890554905","0.01481773890554905","0.01481773890554905","0.004942148923873901","0.004942148923873901","0.004942148923873901","0.010491497814655304","0.010491497814655304","0.010491497814655304","0.014727634377777576","0.014727634377777576","0.014727634377777576"
"50","0.005821182858198881","0.005821182858198881","0.005821182858198881","0.011357421986758709","0.011357421986758709","0.011357421986758709","0.005720235873013735","0.005720235873013735","0.005720235873013735","0.013365971855819225","0.013365971855819225","0.013365971855819225","0.007229161914438009","0.007229161914438009","0.007229161914438009","0.01710062474012375","0.01710062474012375","0.01710062474012375","0.012756663374602795","0.012756663374602795","0.012756663374602795"
"51","0.00554655073210597","0.00554655073210597","0.00554655073210597","0.009715753607451916","0.009715753607451916","0.009715753607451916","0.005833000410348177","0.005833000410348177","0.005833000410348177","0.012011301703751087","0.012011301703751087","0.012011301703751087","0.005704408511519432","0.005704408511519432","0.005704408511519432","0.014230878092348576","0.014230878092348576","0.014230878092348576","0.010981380008161068","0.010981380008161068","0.010981380008161068"
"52","0.004180985037237406","0.004180985037237406","0.004180985037237406","0.010010628029704094","0.010010628029704094","0.010010628029704094","0.005174317862838507","0.005174317862838507","0.005174317862838507","0.010579362511634827","0.010579362511634827","0.010579362511634827","0.005057436879724264","0.005057436879724264","0.005057436879724264","0.009328218176960945","0.009328218176960945","0.009328218176960945","0.01096042525023222","0.01096042525023222","0.01096042525023222"
"53","0.005733119323849678","0.005733119323849678","0.005733119323849678","0.013543108478188515","0.013543108478188515","0.013543108478188515","0.004424994811415672","0.004424994811415672","0.004424994811415672","0.00943300873041153","0.00943300873041153","0.00943300873041153","0.0049865515902638435","0.0049865515902638435","0.0049865515902638435","0.009841950610280037","0.009841950610280037","0.009841950610280037","0.009466134943068027","0.009466134943068027","0.009466134943068027"
"54","0.005770321469753981","0.005770321469753981","0.005770321469753981","0.010700216516852379","0.010700216516852379","0.010700216516852379","0.006230248138308525","0.006230248138308525","0.006230248138308525","0.01425353717058897","0.01425353717058897","0.01425353717058897","0.005356334149837494","0.005356334149837494","0.005356334149837494","0.012392494827508926","0.012392494827508926","0.012392494827508926","0.014483867213129997","0.014483867213129997","0.014483867213129997"
"55","0.0053075277246534824","0.0053075277246534824","0.0053075277246534824","0.012921610847115517","0.012921610847115517","0.012921610847115517","0.004304136615246534","0.004304136615246534","0.004304136615246534","0.007759802043437958","0.007759802043437958","0.007759802043437958","0.004868257790803909","0.004868257790803909","0.004868257790803909","0.009868639521300793","0.009868639521300793","0.009868639521300793","0.010079976171255112","0.010079976171255112","0.010079976171255112"
"56","0.005657763686031103","0.005657763686031103","0.005657763686031103","0.010692276060581207","0.010692276060581207","0.010692276060581207","0.004552221857011318","0.004552221857011318","0.004552221857011318","0.011971844360232353","0.011971844360232353","0.011971844360232353","0.004019986372441053","0.004019986372441053","0.004019986372441053","0.009741154499351978","0.009741154499351978","0.009741154499351978","0.009675438515841961","0.009675438515841961","0.009675438515841961"
"57","0.0033101493027061224","0.0033101493027061224","0.0033101493027061224","0.011000744998455048","0.011000744998455048","0.011000744998455048","0.005394436419010162","0.005394436419010162","0.005394436419010162","0.014096098020672798","0.014096098020672798","0.014096098020672798","0.003722831839695573","0.003722831839695573","0.003722831839695573","0.008095307275652885","0.008095307275652885","0.008095307275652885","0.010247144848108292","0.010247144848108292","0.010247144848108292"
"58","0.005050739739090204","0.005050739739090204","0.005050739739090204","0.013604643754661083","0.013604643754661083","0.013604643754661083","0.005977206863462925","0.005977206863462925","0.005977206863462925","0.012475051917135715","0.012475051917135715","0.012475051917135715","0.004627922549843788","0.004627922549843788","0.004627922549843788","0.008926978334784508","0.008926978334784508","0.008926978334784508","0.011430705897510052","0.011430705897510052","0.011430705897510052"
